Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
2025-04-21 00:00:00-04:00;584.00.00;5.938.400.268.554.680;55.560.498.046.875;5.588.200.073.242.180;1854600;00.00;00.00
2025-04-22 00:00:00-04:00;5.738.499.755.859.370;5.989.000.244.140.620;572.25.00;5.903.900.146.484.370;2593000;00.00;00.00
2025-04-23 00:00:00-04:00;610.00.00;6.140.999.755.859.370;5.873.599.853.515.620;5.927.000.122.070.310;1921700;00.00;00.00
2025-04-24 00:00:00-04:00;5.938.699.951.171.870;6.118.619.995.117.180;5.938.699.951.171.870;6.059.500.122.070.310;1556600;00.00;00.00
2025-04-25 00:00:00-04:00;604.989.990.234.375;6.240.900.268.554.680;59.927.001.953.125;620.719.970.703.125;2586400;00.00;00.00
2025-04-28 00:00:00-04:00;627.05.00;627.05.00;595.00.00;59.772.998.046.875;3939400;00.00;00.00
2025-04-29 00:00:00-04:00;558.00.00;591.00.00;5.400.999.755.859.370;5.769.400.024.414.060;10270300;00.00;00.00
2025-04-30 00:00:00-04:00;5.717.999.877.929.680;615.25.00;56.502.001.953.125;61.397.998.046.875;4234000;00.00;00.00
2025-05-01 00:00:00-04:00;6.060.999.755.859.370;6.108.800.048.828.120;594.00.00;602.260.009.765.625;2329200;00.00;00.00
2025-05-02 00:00:00-04:00;61.497.998.046.875;6.533.200.073.242.180;612.00.00;644.00.00;4851700;00.00;00.00
2025-05-05 00:00:00-04:00;6.285.800.170.898.430;646.00.00;6.256.099.853.515.620;6.376.500.244.140.620;1720000;00.00;00.00
2025-05-06 00:00:00-04:00;6.322.000.122.070.310;63.997.998.046.875;6.279.199.829.101.560;6.328.499.755.859.370;1421700;00.00;00.00
2025-05-07 00:00:00-04:00;6.330.900.268.554.680;660.00.00;6.330.900.268.554.680;6.570.999.755.859.370;2593200;00.00;00.00
2025-05-08 00:00:00-04:00;659.00.00;6.635.499.877.929.680;6.436.300.048.828.120;655.260.009.765.625;1633100;00.00;00.00
2025-05-09 00:00:00-04:00;659.00.00;6.608.070.068.359.370;6.384.299.926.757.810;648.25.00;1211500;00.00;00.00
2025-05-12 00:00:00-04:00;6.279.299.926.757.810;6.322.100.219.726.560;602.00.00;6.208.099.975.585.930;3746500;00.00;00.00
2025-05-13 00:00:00-04:00;6.265.399.780.273.430;6.354.580.078.125;6.151.199.951.171.870;6.200.700.073.242.180;2404200;00.00;00.00
2025-05-14 00:00:00-04:00;617.05.00;640.219.970.703.125;617.05.00;63.322.998.046.875;2293100;00.00;00.00
2025-05-15 00:00:00-04:00;6.286.199.951.171.870;647.469.970.703.125;626.00.00;6.401.799.926.757.810;1462100;00.00;00.00
2025-05-16 00:00:00-04:00;648.05.00;6.585.230.102.539.060;646.00.00;6.562.999.877.929.680;2231400;00.00;00.00
2025-05-19 00:00:00-04:00;649.00.00;669.00.00;6.460.800.170.898.430;6.646.199.951.171.870;1977300;00.00;00.00
2025-05-20 00:00:00-04:00;6.626.599.731.445.310;6.638.900.146.484.370;6.511.199.951.171.870;6.586.099.853.515.620;1390200;00.00;00.00
2025-05-21 00:00:00-04:00;6.561.199.951.171.870;6.633.900.146.484.370;638.00.00;643.00.00;2158600;00.00;00.00
2025-05-22 00:00:00-04:00;6.460.999.755.859.370;651.010.009.765.625;635.25.00;636.75;2505100;00.00;00.00
2025-05-23 00:00:00-04:00;6.341.099.853.515.620;6.585.189.819.335.930;6.289.000.244.140.620;6.538.200.073.242.180;1885100;00.00;00.00
2025-05-27 00:00:00-04:00;65.597.998.046.875;671.239.990.234.375;6.526.900.024.414.060;6.534.000.244.140.620;1706100;00.00;00.00
2025-05-28 00:00:00-04:00;6.528.800.048.828.120;6.645.399.780.273.430;6.511.290.283.203.120;6.639.600.219.726.560;1299400;00.00;00.00
2025-05-29 00:00:00-04:00;6.598.499.755.859.370;665.00.00;634.260.009.765.625;6.366.699.829.101.560;1939900;00.00;00.00
2025-05-30 00:00:00-04:00;645.00.00;669.260.009.765.625;6.372.000.122.070.310;6.651.400.146.484.370;3167400;00.00;00.00
2025-06-02 00:00:00-04:00;660.00.00;6.749.990.234.375;6.568.400.268.554.680;672.00.00;1861400;00.00;00.00
2025-06-03 00:00:00-04:00;675.760.009.765.625;6.785.700.073.242.180;6.659.000.244.140.620;6.710.700.073.242.180;1496700;00.00;00.00
2025-06-04 00:00:00-04:00;677.00.00;7.081.900.024.414.060;6.760.250.244.140.620;7.010.800.170.898.430;2524700;00.00;00.00
2025-06-05 00:00:00-04:00;7.041.799.926.757.810;7.178.699.951.171.870;7.009.199.829.101.560;7.128.200.073.242.180;2005700;00.00;00.00
2025-06-06 00:00:00-04:00;714.25.00;7.166.400.146.484.370;70.747.998.046.875;712.260.009.765.625;937200;00.00;00.00
2025-06-09 00:00:00-04:00;7.086.900.024.414.060;71.085.498.046.875;6.895.900.268.554.680;6.991.099.853.515.620;1145500;00.00;00.00
2025-06-10 00:00:00-04:00;70.422.998.046.875;7.060.250.244.140.620;6.723.599.853.515.620;6.933.200.073.242.180;1695200;00.00;00.00
2025-06-11 00:00:00-04:00;695.00.00;7.147.100.219.726.560;692.00.00;7.091.400.146.484.370;1238600;00.00;00.00
2025-06-12 00:00:00-04:00;707.010.009.765.625;710.00.00;696.00.00;7.028.200.073.242.180;1021400;00.00;00.00
2025-06-13 00:00:00-04:00;694.760.009.765.625;7.108.900.146.484.370;6.912.100.219.726.560;7.108.499.755.859.370;1125800;00.00;00.00
2025-06-16 00:00:00-04:00;7.091.500.244.140.620;7.237.000.122.070.310;7.091.500.244.140.620;7.155.700.073.242.180;1340000;00.00;00.00
2025-06-17 00:00:00-04:00;7.175.499.877.929.680;7.287.999.877.929.680;7.107.050.170.898.430;721.280.029.296.875;1099400;00.00;00.00
2025-06-18 00:00:00-04:00;719.469.970.703.125;723.989.990.234.375;70.347.998.046.875;7.101.900.024.414.060;1602400;00.00;00.00
2025-06-20 00:00:00-04:00;714.05.00;7.237.100.219.726.560;7.069.099.731.445.310;7.074.199.829.101.560;1528500;00.00;00.00
2025-06-23 00:00:00-04:00;7.071.799.926.757.810;7.328.599.853.515.620;702.00.00;7.311.500.244.140.620;1855500;00.00;00.00
2025-06-24 00:00:00-04:00;7.339.000.244.140.620;7.542.119.750.976.560;7.297.949.829.101.560;7.499.099.731.445.310;1591100;00.00;00.00
2025-06-25 00:00:00-04:00;7.527.000.122.070.310;7.591.699.829.101.560;7.356.069.946.289.060;7.362.999.877.929.680;1159600;00.00;00.00
2025-06-26 00:00:00-04:00;7.445.800.170.898.430;777.385.009.765.625;742.625;7.759.000.244.140.620;2555300;00.00;00.00
2025-06-27 00:00:00-04:00;7.802.999.877.929.680;785.00.00;7.670.170.288.085.930;7.725.999.755.859.370;2793900;00.00;00.00
2025-06-30 00:00:00-04:00;776.989.990.234.375;7.783.300.170.898.430;750.280.029.296.875;7.673.400.268.554.680;1933300;00.00;00.00
2025-07-01 00:00:00-04:00;7.669.299.926.757.810;7.697.100.219.726.560;718.030.029.296.875;7.223.499.755.859.370;2725700;00.00;00.00
2025-07-02 00:00:00-04:00;725.00.00;734.00.00;70.397.998.046.875;709.05.00;2788500;00.00;00.00
2025-07-03 00:00:00-04:00;713.00.00;7.255.499.877.929.680;7.045.499.877.929.680;7.250.499.877.929.680;1078900;00.00;00.00
2025-07-07 00:00:00-04:00;721.719.970.703.125;7.376.900.024.414.060;712.00.00;7.362.899.780.273.430;1556400;00.00;00.00
2025-07-08 00:00:00-04:00;7.384.500.122.070.310;743.989.990.234.375;709.989.990.234.375;7.213.900.146.484.370;1774500;00.00;00.00
2025-07-09 00:00:00-04:00;7.224.400.024.414.060;73.197.998.046.875;713.05.00;7.221.199.951.171.870;1362400;00.00;00.00
2025-07-10 00:00:00-04:00;7.205.700.073.242.180;726.823.974.609.375;699.00.00;7.099.500.122.070.310;1337800;00.00;00.00
2025-07-11 00:00:00-04:00;709.00.00;7.140.999.755.859.370;6.998.250.122.070.310;7.091.500.244.140.620;1267500;00.00;00.00
2025-07-14 00:00:00-04:00;7.118.900.146.484.370;7.238.699.951.171.870;7.071.500.244.140.620;717.489.990.234.375;1256700;00.00;00.00
2025-07-15 00:00:00-04:00;717.489.990.234.375;718.239.990.234.375;6.966.599.731.445.310;7.104.600.219.726.560;1809700;00.00;00.00
2025-07-16 00:00:00-04:00;705.489.990.234.375;7.128.499.755.859.370;698.635.009.765.625;7.055.499.877.929.680;1335900;00.00;00.00
2025-07-17 00:00:00-04:00;7.030.800.170.898.430;7.247.750.244.140.620;69.347.998.046.875;7.209.099.731.445.310;1658800;00.00;00.00
2025-07-18 00:00:00-04:00;7.131.500.244.140.620;719.00.00;685.469.970.703.125;69.547.998.046.875;2149900;00.00;00.00
2025-07-21 00:00:00-04:00;692.75;707.510.009.765.625;6.891.329.956.054.680;7.068.800.048.828.120;1296400;00.00;00.00
2025-07-22 00:00:00-04:00;709.489.990.234.375;7.131.699.829.101.560;674.989.990.234.375;675.739.990.234.375;2041700;00.00;00.00
2025-07-23 00:00:00-04:00;680.00.00;680.00.00;665.25.00;6.744.600.219.726.560;2190300;00.00;00.00
2025-07-24 00:00:00-04:00;6.941.500.244.140.620;699.05.00;6.781.900.024.414.060;6.814.199.829.101.560;1906000;00.00;00.00
2025-07-25 00:00:00-04:00;681.530.029.296.875;7.022.999.877.929.680;67.872.998.046.875;6.930.999.755.859.370;1757100;00.00;00.00
2025-07-28 00:00:00-04:00;686.219.970.703.125;710.00.00;6.860.679.931.640.620;70.097.998.046.875;2030400;00.00;00.00
2025-07-29 00:00:00-04:00;657.530.029.296.875;663.989.990.234.375;6.156.300.048.828.120;620.010.009.765.625;11468100;00.00;00.00
2025-07-30 00:00:00-04:00;623.00.00;657.780.029.296.875;619.00.00;650.469.970.703.125;5872200;00.00;00.00
2025-07-31 00:00:00-04:00;6.548.099.975.585.930;662.00.00;6.244.949.951.171.870;6.265.399.780.273.430;3678700;00.00;00.00
2025-08-01 00:00:00-04:00;622.00.00;641.25.00;6.189.240.112.304.680;6.271.500.244.140.620;2531500;00.00;00.00
2025-08-04 00:00:00-04:00;661.00.00;677.00.00;6.585.800.170.898.430;6.585.900.268.554.680;3764900;00.00;00.00
2025-08-05 00:00:00-04:00;655.00.00;65.964.501.953.125;6.374.299.926.757.810;647.00.00;2135900;00.00;00.00
2025-08-06 00:00:00-04:00;651.780.029.296.875;6.672.369.995.117.180;645.969.970.703.125;6.668.099.975.585.930;2208200;00.00;00.00
2025-08-07 00:00:00-04:00;668.00.00;6.904.099.731.445.310;668.00.00;686.739.990.234.375;2444900;00.00;00.00
2025-08-08 00:00:00-04:00;6.929.199.829.101.560;71.727.001.953.125;690.05.00;7.058.900.146.484.370;2362000;00.00;00.00
2025-08-11 00:00:00-04:00;705.00.00;705.00.00;689.219.970.703.125;68.922.998.046.875;1314300;00.00;00.00
2025-08-12 00:00:00-04:00;6.941.500.244.140.620;6.953.499.755.859.370;67.377.001.953.125;6.893.499.755.859.370;1141500;00.00;00.00
2025-08-13 00:00:00-04:00;689.719.970.703.125;6.956.300.048.828.120;6.820.900.268.554.680;695.00.00;1359900;00.00;00.00
2025-08-14 00:00:00-04:00;6.937.100.219.726.560;7.071.699.829.101.560;687.010.009.765.625;698.05.00;1423800;00.00;00.00
2025-08-15 00:00:00-04:00;725.00.00;7.482.999.877.929.680;721.00.00;7.328.099.975.585.930;3006000;00.00;00.00
2025-08-18 00:00:00-04:00;734.00.00;7.437.750.244.140.620;723.00.00;7.280.700.073.242.180;1477200;00.00;00.00
2025-08-19 00:00:00-04:00;725.00.00;7.366.799.926.757.810;7.191.630.249.023.430;7.193.499.755.859.370;1568200;00.00;00.00
2025-08-20 00:00:00-04:00;7.155.399.780.273.430;7.186.500.244.140.620;688.05.00;7.037.899.780.273.430;1566800;00.00;00.00
2025-08-21 00:00:00-04:00;7.037.899.780.273.430;704.00.00;679.989.990.234.375;689.469.970.703.125;1614500;00.00;00.00
2025-08-22 00:00:00-04:00;690.00.00;701.093.994.140.625;6.850.900.268.554.680;692.989.990.234.375;937200;00.00;00.00
2025-08-25 00:00:00-04:00;6.990.900.268.554.680;7.147.999.877.929.680;6.940.999.755.859.370;6.947.899.780.273.430;1270300;00.00;00.00
2025-08-26 00:00:00-04:00;6.947.899.780.273.430;6.983.350.219.726.560;6.807.000.122.070.310;696.469.970.703.125;1731400;00.00;00.00
2025-08-27 00:00:00-04:00;6.940.599.975.585.930;6.993.699.951.171.870;6.869.099.731.445.310;692.989.990.234.375;901600;00.00;00.00
2025-08-28 00:00:00-04:00;69.172.998.046.875;695.780.029.296.875;6.823.200.073.242.180;6.877.999.877.929.680;1017200;00.00;00.00
2025-08-29 00:00:00-04:00;6.889.600.219.726.560;6.908.900.146.484.370;673.05.00;6.818.800.048.828.120;1004100;00.00;00.00
2025-09-02 00:00:00-04:00;6.698.099.975.585.930;6.917.000.122.070.310;6.630.599.975.585.930;6.896.199.951.171.870;1044700;00.00;00.00
2025-09-03 00:00:00-04:00;6.936.900.024.414.060;7.111.749.877.929.680;6.891.010.131.835.930;6.973.300.170.898.430;1133900;00.00;00.00
2025-09-04 00:00:00-04:00;6.942.000.122.070.310;7.076.500.244.140.620;6.941.500.244.140.620;7.038.499.755.859.370;1336900;00.00;00.00
